I_SECURITY,I_COMPANY,I_MARKET,I_INDUSTRY,I_SECTOR,I_SUBSECTOR,I_SEC_TYPE,N_SECURITY,N_SECURITY_T,N_SECURITY_E,I_SECURITY_LOCAL,I_ISIN,I_NATIVE
0,0,A,0,0,0,S,SET                 ,,,0,              ,L
1,1,A,3,2,0,S,BBL                 ,,,1,TH0001010006  ,L
2,1,A,3,2,0,F,BBL-F               ,,,1,TH0001010014  ,F
3,1,A,3,2,0,S,BBL-R               ,,,1,TH0001010R16  ,R
4,2,A,7,5,0,S,BJC                 ,,,4,TH0002010Z06  ,L
5,2,A,7,5,0,F,BJC-F               ,,,4,TH0002010Z14  ,F
6,2,A,7,5,0,S,BJC-R               ,,,4,TH0002010R14  ,R
7,2,A,7,5,0,S,BJC-U               ,,,4,TH0002010U19  ,U
8,2,A,0,0,0,P,BJC-P               ,,,8,              ,L
9,3,A,5,3,0,S,SCC                 ,,,9,TH0003010Z04  ,L
10,3,A,5,3,0,F,SCC-F               ,,,9,TH0003010Z12  ,F
11,3,A,5,3,0,S,SCC-R               ,,,9,TH0003010R12  ,R
12,4,A,4,21,0,S,TGI                 ,,,12,TH0004010003  ,L
13,4,A,4,21,0,F,TGI-F               ,,,12,TH0004010011  ,F
14,5,A,3,11,0,S,AIFT                ,,,14,TH0005010002  ,L
15,5,A,3,11,0,F,AIFT-F              ,,,14,TH0005010010  ,F
16,5,A,3,11,0,S,AIFT-R              ,,,14,TH0005010R17  ,R
17,6,A,4,21,0,S,CMBT                ,,,17,TH0006010Z07  ,L
18,6,A,4,21,0,F,CMBT-F              ,,,17,TH0006010Z15  ,F
19,6,A,4,21,0,S,CMBT-R              ,,,17,TH0006010R15  ,R
20,7,A,7,14,0,S,DTC                 ,,,20,TH0007A10Z06  ,L
21,7,A,7,14,0,F,DTC-F               ,,,20,TH0007A10Z14  ,F
22,7,A,7,14,0,S,DTC-R               ,,,20,TH0007010R13  ,R
23,83,A,3,2,0,S,TCAP                ,,,23,TH0083A10Z03  ,L
24,83,A,3,2,0,F,TCAP-F              ,,,23,TH0083A10Z11  ,F
25,83,A,3,2,0,S,TCAP-R              ,,,23,TH0083010R14  ,R
26,8,A,5,3,0,S,JCC                 ,,,26,TH0008010009  ,L
27,8,A,5,3,0,F,JCC-F               ,,,26,TH0008010017  ,F
28,8,A,5,3,0,S,JCC-R               ,,,26,TH0008010R11  ,R
29,10,A,2,27,0,S,SUC                 ,,,29,TH0010010005  ,L
30,10,A,2,27,0,F,SUC-F               ,,,29,TH0010010013  ,F
31,10,A,2,27,0,S,SUC-R               ,,,29,TH0010010R17  ,R
32,9,A,1,12,0,S,SSC                 ,,,32,TH0009010Y02  ,L
33,9,A,1,12,0,F,SSC-F               ,,,32,TH0009010Y10  ,F
34,9,A,1,12,0,S,SSC-R               ,,,32,TH0009010R19  ,R
35,12,A,4,32,0,S,CTW                 ,,,35,TH0012010Z05  ,L
36,12,A,4,32,0,F,CTW-F               ,,,35,TH0012010Z13  ,F
37,12,A,4,32,0,S,CTW-R               ,,,35,TH0012010R13  ,R
38,14,A,3,2,0,S,BMB                 ,,,38,TH0014010001  ,L
39,14,A,3,2,0,F,BMB-F               ,,,38,TH0014010019  ,F
40,14,A,3,2,0,S,BMB-R               ,,,38,TH0014010R19  ,R
41,16,A,3,2,0,S,KBANK               ,,,41,TH0016010009  ,L
42,16,A,3,2,0,F,KBANK-F             ,,,41,TH0016010017  ,F
43,16,A,3,2,0,S,KBANK-R             ,,,41,TH0016010R14  ,R
44,15,A,3,2,0,S,SCB                 ,,,44,TH0015010000  ,L
45,15,A,3,2,0,F,SCB-F               ,,,44,TH0015010018  ,F
46,15,A,3,2,0,S,SCB-R               ,,,44,TH0015010R16  ,R
47,13,A,3,2,0,S,IFCT                ,,,47,TH0013010002  ,L
48,13,A,3,2,0,F,IFCT-F              ,,,47,TH0013010010  ,F
49,13,A,3,2,0,S,IFCT-R              ,,,47,TH0013010R11  ,R
50,17,A,2,27,0,S,BATA                ,,,50,TH0017010008  ,L
51,17,A,2,27,0,S,BATA-R              ,,,50,TH0017010R12  ,R
52,11,A,2,27,0,S,AFC                 ,,,52,TH0011010004  ,L
53,11,A,2,27,0,F,AFC-F               ,,,52,TH0011010012  ,F
54,11,A,2,27,0,S,AFC-R               ,,,52,TH0011010R15  ,R
55,18,A,3,2,0,S,DTDB                ,,,55,TH0018010007  ,L
56,18,A,3,2,0,F,DTDB-F              ,,,55,TH0018010015  ,F
57,18,A,3,2,0,S,DTDB-R              ,,,55,TH0018010R10  ,R
58,19,A,3,16,0,S,TIC                 ,,,58,TH0019010006  ,L
59,19,A,3,16,0,S,TIC-R               ,,,58,TH0019010R18  ,R
60,20,A,3,16,0,S,SAFE                ,,,60,TH0020010003  ,L
61,20,A,3,16,0,S,SAFE-R              ,,,60,TH0020010R16  ,R
62,21,A,5,3,0,S,SCCC                ,,,62,TH0021010Z06  ,L
63,21,A,5,3,0,F,SCCC-F              ,,,62,TH0021010Z14  ,F
64,21,A,5,3,0,S,SCCC-R              ,,,62,TH0021010R14  ,R
65,22,A,3,11,0,S,GF                  ,,,65,TH0022010001  ,L
66,22,A,3,11,0,F,GF-F                ,,,65,TH0022010019  ,F
67,23,A,3,2,0,S,BAY                 ,,,67,TH0023010000  ,L
68,23,A,3,2,0,F,BAY-F               ,,,67,TH0023010018  ,F
69,23,A,3,2,0,S,BAY-R               ,,,67,TH0023010R10  ,R
70,24,A,2,27,0,S,NC                  ,,,70,TH0024010009  ,L
71,24,A,2,27,0,F,NC-F                ,,,70,TH0024010017  ,F
72,24,A,2,27,0,S,NC-R                ,,,70,TH0024010R18  ,R
73,25,A,5,3,0,S,CIT                 ,,,73,TH0025010008  ,L
74,25,A,5,3,0,F,CIT-F               ,,,73,TH0025010016  ,F
75,26,A,4,21,0,S,CSC                 ,,,75,TH0026010007  ,L
76,26,A,4,21,0,F,CSC-F               ,,,75,TH0026010015  ,F
77,26,A,4,21,0,S,CSC-R               ,,,75,TH0026010R13  ,R
78,27,A,7,5,0,S,SPI                 ,,,78,TH0027010Z03  ,L
79,27,A,7,5,0,F,SPI-F               ,,,78,TH0027010Z11  ,F
80,27,A,7,5,0,S,SPI-R               ,,,78,TH0027010R11  ,R
81,28,A,4,21,0,S,TTP                 ,,,81,              ,L
82,28,A,4,21,0,F,TTP-F               ,,,81,              ,F
83,29,A,4,4,0,S,UP                  ,,,83,TH0029010004  ,L
84,29,A,4,4,0,F,UP-F                ,,,83,TH0029010012  ,F
85,29,A,4,4,0,S,UP-R                ,,,83,TH0029010R17  ,R
86,30,A,0,17,0,S,VK                  ,,,86,TH0030010001  ,L
87,30,A,0,17,0,F,VK-F                ,,,86,TH0030010019  ,F
88,31,A,2,27,0,S,UPF                 ,,,88,TH0031010000  ,L
89,31,A,2,27,0,S,UPF-R               ,,,88,TH0031010R13  ,R
90,32,A,2,27,0,S,UI                  ,,,90,TH0032010009  ,L
91,32,A,2,27,0,F,UI-F                ,,,90,TH0032010017  ,F
92,33,A,4,21,0,S,APSP                ,,,92,TH0033010008  ,L
93,33,A,4,21,0,F,APSP-F              ,,,92,TH0033010016  ,F
94,33,A,4,21,0,S,APSP-R              ,,,92,TH0033010R19  ,R
95,34,A,4,29,0,S,GYT                 ,,,95,TH0034010Z09  ,L
96,34,A,4,29,0,F,GYT-F               ,,,95,TH0034010Z17  ,F
97,34,A,4,29,0,S,GYT-R               ,,,95,TH0034010R17  ,R
98,35,A,7,5,0,S,SPC                 ,,,98,TH0035010Z06  ,L
99,35,A,7,5,0,F,SPC-F               ,,,98,TH0035010Z14  ,F
100,35,A,7,5,0,S,SPC-R               ,,,98,TH0035010R14  ,R
101,36,A,5,3,0,S,TCMC                ,,,101,TH0036010Y05  ,L
102,36,A,5,3,0,F,TCMC-F              ,,,101,TH0036010Y13  ,F
103,36,A,5,3,0,S,TCMC-R              ,,,101,TH0036010R12  ,R
104,37,A,3,11,0,S,AYAL                ,,,104,TH0037010004  ,L
105,37,A,3,11,0,F,AYAL-F              ,,,104,TH0037010012  ,F
106,37,A,3,11,0,S,AYAL-R              ,,,104,TH0037010R10  ,R
107,38,A,3,2,0,S,UOBT                ,,,107,TH0038010003  ,L
108,38,A,3,2,0,F,UOBT-F              ,,,107,TH0038010011  ,F
109,38,A,3,2,0,S,UOBT-R              ,,,107,TH0038010R18  ,R
110,39,A,3,2,0,S,UOBR                ,,,110,TH0039010002  ,L
111,39,A,3,2,0,S,UOBR-R              ,,,110,TH0039010R16  ,R
112,40,A,3,2,0,S,ICBCT               ,,,112,TH0040A10Y06  ,L
113,40,A,3,2,0,F,ICBCT-F             ,,,112,TH0040A10Y14  ,F
114,40,A,3,2,0,S,ICBCT-R             ,,,112,TH0040010R14  ,R
115,41,A,3,2,0,S,CIMBT               ,,,115,TH0041010Y05  ,L
116,41,A,3,2,0,S,CIMBT-R             ,,,115,TH0041010R12  ,R
117,14,A,0,0,0,P,BMB-P               ,,,117,TH0014020000  ,L
118,14,A,0,0,0,P,BMB-P-R             ,,,117,TH0014020R17  ,R
119,42,A,3,16,0,S,BKI                 ,,,119,TH0042010007  ,L
120,42,A,3,16,0,F,BKI-F               ,,,119,TH0042010015  ,F
121,42,A,3,16,0,S,BKI-R               ,,,119,TH0042010R10  ,R
122,43,A,1,12,0,S,TF                  ,,,122,TH0043010Z00  ,L
123,43,A,1,12,0,F,TF-F                ,,,122,TH0043010Z18  ,F
124,43,A,1,12,0,S,TF-R                ,,,122,TH0043010R18  ,R
125,44,A,3,11,0,S,ITF                 ,,,125,TH0044010Z08  ,L
126,44,A,3,11,0,F,ITF-F               ,,,125,TH0044010Z16  ,F
127,45,A,2,27,0,S,DIGI                ,,,127,TH0045B10Z09  ,L
128,45,A,2,27,0,S,DIGI-R              ,,,127,TH0045010R13  ,R
129,46,A,2,27,0,S,ICC                 ,,,129,TH0046010Z03  ,L
130,46,A,2,27,0,F,ICC-F               ,,,129,TH0046010Z11  ,F
131,46,A,2,27,0,S,ICC-R               ,,,129,TH0046010R11  ,R
132,47,A,1,12,0,S,UFM                 ,,,132,TH0047010002  ,L
133,47,A,1,12,0,F,UFM-F               ,,,132,TH0047010010  ,F
134,47,A,1,12,0,S,UFM-R               ,,,132,TH0047010R19  ,R
135,49,A,6,9,0,S,TIG                 ,,,135,TH0049010000  ,L
136,49,A,6,9,0,F,TIG-F               ,,,135,TH0049010018  ,F
137,49,A,6,9,0,S,TIG-R               ,,,135,TH0049010R15  ,R
138,50,A,4,4,0,S,WG                  ,,,138,TH0050010006  ,L
139,50,A,4,4,0,F,WG-F                ,,,138,TH0050010014  ,F
140,50,A,4,4,0,S,WG-R                ,,,138,TH0050010R13  ,R
141,48,A,4,29,0,S,STC                 ,,,141,TH0048010001  ,L
142,48,A,4,29,0,F,STC-F               ,,,141,TH0048010019  ,F
143,51,A,3,11,0,S,PHATR-O             ,,,143,TH0051010005  ,L
144,51,A,3,11,0,F,PHATR-OF            ,,,143,TH0051010013  ,F
145,52,S,62,70,0,S,DCORP               ,,,145,TH0052A10Y01  ,L
146,52,S,62,70,0,F,DCORP-F             ,,,145,TH0052A10Y19  ,F
147,52,S,62,70,0,S,DCORP-R             ,,,145,TH0052010R19  ,R
148,53,A,3,16,0,S,PHA                 ,,,148,TH0053010003  ,L
149,53,A,3,16,0,F,PHA-F               ,,,148,TH0053010011  ,F
150,53,A,3,16,0,S,PHA-R               ,,,148,TH0053010R17  ,R
151,54,A,0,17,0,S,SS                  ,,,151,TH0054010002  ,L
152,55,A,5,3,0,S,TGCI                ,,,152,TH0055010Z04  ,L
153,55,A,5,3,0,F,TGCI-F              ,,,152,TH0055010Z12  ,F
154,55,A,5,3,0,S,TGCI-R              ,,,152,TH0055010R12  ,R
155,57,A,4,26,0,S,TUPCO               ,,,155,TH0057010009  ,L
156,57,A,4,26,0,F,TUPCO-F             ,,,155,TH0057010017  ,F
157,58,A,7,28,0,S,KWC                 ,,,157,TH0058010008  ,L
158,58,A,7,28,0,S,KWC-R               ,,,157,TH0058010R16  ,R
159,59,A,2,27,0,S,UT                  ,,,159,TH0059010007  ,L
160,59,A,2,27,0,F,UT-F                ,,,159,TH0059010015  ,F
161,59,A,2,27,0,S,UT-R                ,,,159,TH0059010R14  ,R
162,56,A,5,3,0,S,TGP                 ,,,162,TH0056010000  ,L
163,56,A,5,3,0,F,TGP-F               ,,,162,TH0056010018  ,F
164,56,A,5,3,0,S,TGP-R               ,,,162,TH0056010R10  ,R
165,60,A,3,11,0,S,DS                  ,,,165,TH0060010004  ,L
166,60,A,3,11,0,F,DS-F                ,,,165,TH0060010012  ,F
167,61,A,6,20,0,S,THL                 ,,,167,TH0061010Z02  ,L
168,61,A,6,20,0,S,THL-R               ,,,167,TH0061010R10  ,R
169,61,A,6,20,0,S,THL-U               ,,,167,TH0061010U15  ,U
170,62,A,2,27,0,S,TICO                ,,,170,TH0062010002  ,L
171,62,A,2,27,0,F,TICO-F              ,,,170,TH0062010010  ,F
172,63,A,2,27,0,S,TTTM                ,,,172,TH0063010001  ,L
173,63,A,2,27,0,S,TTTM-R              ,,,172,TH0063010R16  ,R
174,64,A,3,11,0,S,TISC_OLD            ,,,174,TH0064010000  ,L
175,65,A,3,11,0,S,MCC                 ,,,175,TH0065010009  ,L
176,65,A,3,11,0,F,MCC-F               ,,,175,TH0065010017  ,F
177,67,A,3,2,0,S,SCBT                ,,,177,TH0067010007  ,L
178,67,A,3,2,0,F,SCBT-F              ,,,177,TH0067010015  ,F
179,67,A,3,2,0,S,SCBT-R              ,,,177,TH0067010R17  ,R
180,66,A,7,5,0,S,EAC                 ,,,180,TH0066010008  ,L
181,68,A,3,2,0,S,TMB                 ,,,181,TH0068010Z07  ,L
182,68,A,3,2,0,F,TMB-F               ,,,181,TH0068010Z15  ,F
183,68,A,3,2,0,S,TMB-R               ,,,181,TH0068010R15  ,R
184,69,A,2,27,0,S,WACOAL              ,,,184,TH0069010Z05  ,L
185,69,A,2,27,0,F,WACOAL-F            ,,,184,TH0069010Z13  ,F
186,69,A,2,27,0,S,WACOAL-R            ,,,184,TH0069010R13  ,R
187,70,A,0,17,0,S,BRC                 ,,,187,TH0070010002  ,L
188,70,A,0,17,0,F,BRC-F               ,,,187,TH0070010010  ,F
189,70,A,0,17,0,S,BRC-R               ,,,187,TH0070010R11  ,R
190,71,A,0,17,0,S,DTM                 ,,,190,TH0071010Z01  ,L
191,71,A,0,17,0,F,DTM-F               ,,,190,TH0071010Z19  ,F
192,71,A,0,17,0,S,DTM-R               ,,,190,TH0071010R19  ,R
193,72,A,4,4,0,S,TPC                 ,,,193,TH0072010Z09  ,L
194,72,A,4,4,0,F,TPC-F               ,,,193,TH0072010Z17  ,F
195,72,A,4,4,0,S,TPC-R               ,,,193,TH0072010R17  ,R
196,73,A,7,5,0,S,SINGER              ,,,196,TH0073A10Z05  ,L
197,73,A,7,5,0,F,SINGER-F            ,,,196,TH0073A10Z13  ,F
198,73,A,7,5,0,S,SINGER-R            ,,,196,TH0073010R15  ,R
199,74,A,3,11,0,S,UAF                 ,,,199,TH0074010008  ,L
200,74,A,3,11,0,F,UAF-F               ,,,199,TH0074010016  ,F
201,76,A,3,11,0,S,BFIT                ,,,201,TH0076010Y01  ,L
202,76,A,3,11,0,F,BFIT-F              ,,,201,TH0076010Y19  ,F
203,76,A,3,11,0,S,BFIT-R              ,,,201,TH0076010R18  ,R
204,77,A,1,1,0,S,BAP                 ,,,204,TH0077010005  ,L
205,77,A,1,1,0,F,BAP-F               ,,,204,TH0077010013  ,F
206,78,A,7,10,0,S,POST                ,,,206,TH0078010Y07  ,L
207,78,A,7,10,0,F,POST-F              ,,,206,TH0078010Y15  ,F
208,78,A,7,10,0,S,POST-R              ,,,206,TH0078010R14  ,R
209,75,A,2,27,0,S,TR                  ,,,209,TH0075010Z02  ,L
210,75,A,2,27,0,F,TR-F                ,,,209,TH0075010Z10  ,F
211,75,A,2,27,0,S,TR-R                ,,,209,TH0075010R10  ,R
212,79,A,1,12,0,S,FFT                 ,,,212,TH0079010003  ,L
213,79,A,1,12,0,F,FFT-F               ,,,212,TH0079010011  ,F
214,80,A,1,12,0,S,SFP                 ,,,214,TH0080010000  ,L
215,80,A,1,12,0,F,SFP-F               ,,,214,TH0080010018  ,F
216,80,A,1,12,0,S,SFP-R               ,,,214,TH0080010R10  ,R
217,81,A,1,1,0,S,TWS                 ,,,217,TH0081A10Y06  ,L
218,81,A,1,1,0,F,TWS-F               ,,,217,TH0081A10Y14  ,F
219,81,A,1,1,0,S,TWS-R               ,,,217,TH0081010R18  ,R
220,82,A,3,16,0,S,SMG                 ,,,220,TH0082010Y09  ,L
221,82,A,3,16,0,F,SMG-F               ,,,220,TH0082010Y17  ,F
222,82,A,3,16,0,S,SMG-R               ,,,220,TH0082010R16  ,R
223,83,A,0,0,0,P,TCAP-P              ,,,223,TH0083A20Y02  ,L
224,83,A,0,0,0,P,TCAP-P-R            ,,,223,TH0083020R12  ,R
225,84,A,3,2,0,S,FBCB                ,,,225,TH0084010Z04  ,L
226,84,A,3,2,0,F,FBCB-F              ,,,225,TH0084010Z12  ,F
227,84,A,0,0,0,P,FBCB-P              ,,,227,TH0084020Z02  ,L
228,85,A,0,0,0,U,SF4                 ,,,228,TH0085010005  ,L
229,85,A,0,0,0,T,SF4-F               ,,,228,TH0085010013  ,F
230,77,A,0,0,0,D,BAP#4               ,√ÿËπ 1987,ISSUE 1987,230,TH0077032702  ,L
231,86,A,4,21,0,S,NEP                 ,,,231,TH0086010Z09  ,L
232,86,A,4,21,0,S,NEP-R               ,,,231,TH0086010R17  ,R
233,87,A,7,10,0,S,FE                  ,,,233,TH0087010003  ,L
234,87,A,7,10,0,F,FE-F                ,,,233,TH0087010011  ,F
235,87,A,7,10,0,S,FE-R                ,,,233,TH0087010R15  ,R
236,88,A,6,20,0,S,PDI                 ,,,236,TH0088010002  ,L
237,88,A,6,20,0,F,PDI-F               ,,,236,TH0088010010  ,F
238,88,A,6,20,0,S,PDI-R               ,,,236,TH0088010R13  ,R
239,89,A,2,27,0,S,TNL                 ,,,239,TH0089010Z03  ,L
240,89,A,2,27,0,F,TNL-F               ,,,239,TH0089010Z11  ,F
241,89,A,2,27,0,S,TNL-R               ,,,239,TH0089010R11  ,R
242,90,A,2,27,0,S,TPCORP              ,,,242,TH0090010Z01  ,L
243,90,A,2,27,0,F,TPCORP-F            ,,,242,TH0090010Z19  ,F
244,90,A,2,27,0,S,TPCORP-R            ,,,242,TH0090010R19  ,R
245,91,A,2,22,0,S,OCC                 ,,,245,TH0091010Z09  ,L
246,91,A,2,22,0,F,OCC-F               ,,,245,TH0091010Z17  ,F
247,91,A,2,22,0,S,OCC-R               ,,,245,TH0091010R17  ,R
248,92,A,1,12,0,S,SST                 ,,,248,TH0092010Y08  ,L
249,92,A,1,12,0,F,SST-F               ,,,248,TH0092010Y16  ,F
250,92,A,1,12,0,S,SST-R               ,,,248,TH0092010R15  ,R
251,93,A,3,16,0,S,AYUD                ,,,251,TH0093010Y06  ,L
252,93,A,3,16,0,F,AYUD-F              ,,,251,TH0093010Y14  ,F
253,93,A,3,16,0,S,AYUD-R              ,,,251,TH0093010R13  ,R
254,94,A,3,11,0,S,NAVA                ,,,254,TH0094010004  ,L
255,94,A,3,11,0,F,NAVA-F              ,,,254,TH0094010012  ,F
256,96,A,3,11,0,S,CMIC                ,,,256,TH0096010002  ,L
257,96,A,3,11,0,F,CMIC-F              ,,,256,TH0096010010  ,F
258,27,A,0,0,0,D,SPI#1               ,,,258,              ,L
259,97,A,0,0,0,U,SF5                 ,,,259,TH0097010001  ,L
260,97,A,0,0,0,T,SF5-F               ,,,259,TH0097010019  ,F
261,95,A,2,27,0,S,BTNC                ,,,261,TH0095010003  ,L
262,95,A,2,27,0,F,BTNC-F              ,,,261,TH0095010011  ,F
263,95,A,2,27,0,S,BTNC-R              ,,,261,TH0095010R18  ,R
264,13,A,0,0,0,D,IFCT#1              ,,,264,TH0013037708  ,L
265,75,A,0,0,0,D,TR#1                ,,,265,              ,L
266,98,A,4,26,0,S,SPP                 ,,,266,TH0098010000  ,L
267,98,A,4,26,0,F,SPP-F               ,,,266,TH0098010018  ,F
268,98,A,4,26,0,S,SPP-R               ,,,266,TH0098010R12  ,R
269,99,A,0,17,0,S,BBC                 ,,,269,TH0099010009  ,L
270,99,A,0,17,0,F,BBC-F               ,,,269,TH0099010017  ,F
271,100,A,1,1,0,S,BKP                 ,,,271,TH0100010006  ,L
272,100,A,1,1,0,F,BKP-F               ,,,271,TH0100010014  ,F
273,101,A,1,12,0,S,CPF                 ,,,273,TH0101A10Z01  ,L
274,101,A,1,12,0,F,CPF-F               ,,,273,TH0101A10Z19  ,F
275,101,A,1,12,0,S,CPF-R               ,,,273,TH0101010R14  ,R
276,102,A,3,11,0,S,TMF                 ,,,276,TH0102010004  ,L
277,102,A,3,11,0,F,TMF-F               ,,,276,TH0102010012  ,F
278,103,A,2,27,0,S,TTI                 ,,,278,TH0103010003  ,L
279,103,A,2,27,0,S,TTI-R               ,,,278,TH0103010R10  ,R
280,104,A,1,12,0,S,PR                  ,,,280,TH0104010Z00  ,L
281,104,A,1,12,0,F,PR-F                ,,,280,TH0104010Z18  ,F
282,104,A,1,12,0,S,PR-R                ,,,280,TH0104010R18  ,R
283,105,A,7,13,0,S,SKR                 ,,,283,TH0105010Z07  ,L
284,105,A,7,13,0,F,SKR-F               ,,,283,TH0105010Z15  ,F
285,105,A,7,13,0,S,SKR-R               ,,,283,TH0105010R15  ,R
286,106,A,5,3,0,S,ASTL                ,,,286,TH0106010000  ,L
287,106,A,5,3,0,F,ASTL-F              ,,,286,TH0106010018  ,F
288,106,A,5,3,0,S,ASTL-R              ,,,286,TH0106010R13  ,R
289,107,S,58,66,0,S,SGF                 ,,,289,TH0107010Y04  ,L
290,107,S,58,66,0,F,SGF-F               ,,,289,TH0107010Y12  ,F
291,107,S,58,66,0,S,SGF-R               ,,,289,TH0107010R11  ,R
292,108,A,3,11,0,S,CNS                 ,,,292,TH0108010Z01  ,L
293,108,A,3,11,0,F,CNS-F               ,,,292,TH0108010Z19  ,F
294,108,A,3,11,0,S,CNS-R               ,,,292,TH0108010R19  ,R
295,110,A,6,9,0,S,IFEC                ,,,295,TH0110010Y08  ,L
296,110,A,6,9,0,F,IFEC-F              ,,,295,TH0110010Y16  ,F
297,110,A,6,9,0,S,IFEC-R              ,,,295,TH0110010R15  ,R
298,111,A,8,6,0,S,UTC                 ,,,298,TH0111010Z05  ,L
299,111,A,8,6,0,F,UTC-F               ,,,298,TH0111010Z13  ,F
300,111,A,8,6,0,S,UTC-R               ,,,298,TH0111010R13  ,R
301,112,A,2,27,0,S,PAF                 ,,,301,TH0112A10Z08  ,L
302,112,A,2,27,0,F,PAF-F               ,,,301,TH0112A10Z16  ,F
303,112,A,2,27,0,S,PAF-R               ,,,301,TH0112010R11  ,R
304,113,A,7,10,0,S,NMG                 ,,,304,TH0113A10Z07  ,L
305,113,A,7,10,0,F,NMG-F               ,,,304,TH0113A10Z15  ,F
306,113,A,7,10,0,S,NMG-R               ,,,304,TH0113010R19  ,R
307,114,A,0,17,0,S,STAR-O              ,,,307,TH0114010000  ,L
308,114,A,0,17,0,F,STAR-OF             ,,,307,TH0114010018  ,F
309,115,A,7,14,0,S,OHTL                ,,,309,TH0115A10Z05  ,L
310,115,A,7,14,0,F,OHTL-F              ,,,309,TH0115A10Z13  ,F
311,115,A,7,14,0,S,OHTL-R              ,,,309,TH0115010R14  ,R
312,116,A,0,0,0,U,RPF                 ,,,312,TH0116010008  ,L
313,116,A,0,0,0,T,RPF-F               ,,,312,TH0116010016  ,F
314,117,A,3,11,0,S,FIN1                ,,,314,TH0117010007  ,L
315,117,A,3,11,0,F,FIN1-F              ,,,314,TH0117010015  ,F
316,118,A,7,28,0,S,UST                 ,,,316,TH0118010006  ,L
317,118,A,7,28,0,F,UST-F               ,,,316,TH0118010014  ,F
318,118,A,7,28,0,S,UST-R               ,,,316,TH0118010R18  ,R
319,100,A,0,0,0,D,BKP#4               ,√ÿËπ 2/1988,ISSUE 2/1988,319,              ,L
320,101,A,0,0,0,D,CPF#4               ,√ÿËπ 2/1988,ISSUE 2/1988,320,              ,L
321,119,A,3,2,0,S,SCIB                ,,,321,TH0119010Y09  ,L
322,119,A,3,2,0,F,SCIB-F              ,,,321,TH0119010Y17  ,F
323,119,A,3,2,0,S,SCIB-R              ,,,321,TH0119010R16  ,R
324,120,A,7,14,0,S,ERW                 ,,,324,TH0120010Y07  ,L
325,120,A,7,14,0,F,ERW-F               ,,,324,TH0120010Y15  ,F
326,120,A,7,14,0,S,ERW-R               ,,,324,TH0120010R14  ,R
327,121,A,3,2,0,S,KKP                 ,,,327,TH0121010001  ,L
328,121,A,3,2,0,F,KKP-F               ,,,327,TH0121010019  ,F
329,121,A,3,2,0,S,KKP-R               ,,,327,TH0121010R12  ,R
330,122,A,8,8,0,S,KCE                 ,,,330,TH0122B10Z05  ,L
331,122,A,8,8,0,F,KCE-F               ,,,330,TH0122B10Z13  ,F
332,122,A,8,8,0,S,KCE-R               ,,,330,TH0122010R10  ,R
333,123,A,2,22,0,S,S & J               ,,,333,TH0123010Z00  ,L
334,123,A,2,22,0,F,S & J-F             ,,,333,TH0123010Z18  ,F
335,123,A,2,22,0,S,S & J-R             ,,,333,TH0123010R18  ,R
336,124,A,0,0,0,U,SW2                 ,,,336,TH0124010008  ,L
337,124,A,0,0,0,T,SW2-F               ,,,336,TH0124010016  ,F
338,125,A,1,1,0,S,CPNE                ,,,338,TH0125010007  ,L
339,125,A,1,1,0,F,CPNE-F              ,,,338,TH0125010015  ,F
340,126,A,2,27,0,S,PG                  ,,,340,TH0126010Z03  ,L
341,126,A,2,27,0,F,PG-F                ,,,340,TH0126010Z11  ,F
342,126,A,2,27,0,S,PG-R                ,,,340,TH0126010R11  ,R
343,128,A,1,12,0,S,MINT                ,,,343,TH0128B10Z09  ,L
344,128,A,1,12,0,F,MINT-F              ,,,343,TH0128B10Z17  ,F
345,128,A,1,12,0,S,MINT-R              ,,,343,TH0128010R17  ,R
346,128,A,1,12,0,S,MINT-U              ,,,343,TH0128010U12  ,U
347,127,S,57,65,0,S,NPK                 ,,,347,TH0127010005  ,L
348,127,S,57,65,0,F,NPK-F               ,,,347,TH0127010013  ,F
349,127,S,57,65,0,S,NPK-R               ,,,347,TH0127010R19  ,R
350,109,A,3,16,0,S,SCBLIF              ,,,350,TH0109010Y00  ,L
351,109,A,3,16,0,F,SCBLIF-F            ,,,350,TH0109010Y18  ,F
352,109,A,3,16,0,S,SCBLIF-R            ,,,350,TH0109010R17  ,R
353,129,A,0,17,0,S,KT                  ,,,353,TH0129010003  ,L
354,130,A,1,12,0,S,SC-O                ,,,354,TH0130010000  ,L
355,130,A,1,12,0,F,SC-O-F              ,,,354,TH0130010018  ,F
356,131,A,0,17,0,S,ONONO               ,,,356,TH0131010009  ,L
357,131,A,0,17,0,F,ONONO-F             ,,,356,TH0131010017  ,F
358,100,A,0,0,0,D,BKP#3               ,,,358,              ,L
359,101,A,0,0,0,D,CPF#3               ,,,359,              ,L
360,132,A,3,16,0,S,ACMG                ,,,360,TH0132010008  ,L
361,132,A,3,16,0,F,ACMG-F              ,,,360,TH0132010016  ,F
362,132,A,3,16,0,S,ACMG-R              ,,,360,TH0132010R19  ,R
363,133,A,7,28,0,S,RCL                 ,,,363,TH0133010Z09  ,L
364,133,A,7,28,0,F,RCL-F               ,,,363,TH0133010Z17  ,F
365,133,A,7,28,0,S,RCL-R               ,,,363,TH0133010R17  ,R
366,134,A,3,11,0,S,SICCO               ,,,366,TH0134010Z07  ,L
367,134,A,3,11,0,F,SICCO-F             ,,,366,TH0134010Z15  ,F
