I_SECURITY,I_COMPANY,I_MARKET,I_INDUSTRY,I_SECTOR,I_SUBSECTOR,I_SEC_TYPE,N_SECURITY,N_SECURITY_T,N_SECURITY_E,I_SECURITY_LOCAL,I_ISIN,I_NATIVE
5480,822,S,59,67,0,S,CIG                 ,,,5480,TH0822010Z07  ,L
5481,822,S,59,67,0,F,CIG-F               ,,,5480,TH0822010Z15  ,F
5482,822,S,59,67,0,S,CIG-R               ,,,5480,TH0822010R15  ,R
5483,652,B,0,12,0,G,GHB081B             ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 1,GHB48/01/3Y,5483,TH0652A3I102  ,L
5485,652,B,0,12,0,G,GHB081C             ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 2,GHB48/02/3Y,5485,TH0652B3I101  ,L
5487,652,B,0,12,0,G,GHB101A             ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 3,GHB48/03/5Y,5487,TH065203K102  ,L
5488,652,B,0,12,0,G,GHB101A%            ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 3,GHB48/03/5Y,5487,TH065203K128  ,F
5489,565,A,0,0,0,W,EMC-W1              ,ºŸÈ∂◊ÕÀÿÈπ‡¥‘¡,The existing shareholders,5489,TH056505I907  ,L
5490,643,B,0,12,0,G,ETA091B             ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 3,ETA48/03/4Y,5490,TH0643A3J102  ,L
5491,643,B,0,12,0,G,ETA091B%            ,æ—π∏∫—µ√ æ.». 2548 §√—Èß∑’Ë 3,ETA48/03/4Y,5490,TH0643A3J128  ,F
5492,333, ,0,0,0,W,PICNI-WA            ,,,5492,              ,L
5493,128, ,0,0,0,W,MINT-WA             ,°√√¡°“√æπ—°ß“π §√—Èß∑’Ë2,ESOP2,5493,              ,L
5494,823,A,4,29,0,S,SAT                 ,,,5494,TH0823010002  ,L
5495,823,A,4,29,0,F,SAT-F               ,,,5494,TH0823010010  ,F
5496,823,A,4,29,0,S,SAT-R               ,,,5494,TH0823010R13  ,R
5497,824,A,4,34,0,S,BSBM                ,,,5497,TH0824010001  ,L
5498,824,A,4,34,0,F,BSBM-F              ,,,5497,TH0824010019  ,F
5499,824,A,4,34,0,S,BSBM-R              ,,,5497,TH0824010R11  ,R
5500,825,A,8,8,0,S,SPPT                ,,,5500,TH0825010Z00  ,L
5501,825,A,8,8,0,F,SPPT-F              ,,,5500,TH0825010Z18  ,F
5502,825,A,8,8,0,S,SPPT-R              ,,,5500,TH0825010R18  ,R
5503,826,A,4,34,0,S,TMT                 ,,,5503,TH0826010009  ,L
5504,826,A,4,34,0,F,TMT-F               ,,,5503,TH0826010017  ,F
5505,826,A,4,34,0,S,TMT-R               ,,,5503,TH0826010R16  ,R
5506,623,C,0,0,0,D,TB05504B            ,,,5506,TH0623D7F581  ,L
5507,623,C,0,0,0,D,TB05504B%           ,,,5506,TH0623D7F599  ,F
5508,623,C,0,0,0,D,TB05511B            ,,,5508,TH0623E7F580  ,L
5509,623,C,0,0,0,D,TB05511B%           ,,,5508,TH0623E7F598  ,F
5510,623,C,0,0,0,D,TB05518B            ,,,5510,TH0623F7F589  ,L
5511,623,C,0,0,0,D,TB05518B%           ,,,5510,TH0623F7F597  ,F
5512,623,C,0,0,0,D,TB05525B            ,,,5512,TH0623G7F588  ,L
5513,623,C,0,0,0,D,TB05525B%           ,,,5512,TH0623G7F596  ,F
5514,623,C,0,0,0,D,TB05803A            ,,,5514,TH062307F880  ,L
5515,623,C,0,0,0,D,TB05803A%           ,,,5514,TH062307F898  ,F
5516,623,C,0,0,0,D,TB05810A            ,,,5516,TH0623A7F881  ,L
5517,623,C,0,0,0,D,TB05810A%           ,,,5516,TH0623A7F899  ,F
5518,623,C,0,0,0,D,TB05817A            ,,,5518,TH0623B7F880  ,L
5519,623,C,0,0,0,D,TB05817A%           ,,,5518,TH0623B7F898  ,F
5520,623,C,0,0,0,D,TB05824A            ,,,5520,TH0623C7F889  ,L
5521,623,C,0,0,0,D,TB05824A%           ,,,5520,TH0623C7F897  ,F
5522,655,C,0,0,0,G,CB05303B            ,,,5522,TH0655E7F383  ,L
5523,655,C,0,0,0,G,CB05303B%           ,,,5522,TH0655E7F391  ,F
5524,655,C,0,0,0,G,CB05310B            ,,,5524,TH0655F7F382  ,L
5525,655,C,0,0,0,G,CB05310B%           ,,,5524,TH0655F7F390  ,F
5526,655,C,0,0,0,G,CB05317B            ,,,5526,TH0655G7F381  ,L
5527,655,C,0,0,0,G,CB05317B%           ,,,5526,TH0655G7F399  ,F
5528,655,C,0,0,0,G,CB05324B            ,,,5528,TH0655H7F380  ,L
5529,655,C,0,0,0,G,CB05324B%           ,,,5528,TH0655H7F398  ,F
5530,655,B,0,13,0,G,CB06202A            ,æ—π∏∫—µ√ ß«¥∑’Ë48/5/364D,BOT48/5/364D,5530,TH065507G203  ,L
